Gloss	Pitch	Spoken Form	Analyzed Tone	Underlying Form	Close Gloss	Notes
							
I am sleeping.	5;35;5	mə nɛn zi		mə nɛn zi	1p-sg-nom prog. sleep	More info in "Temporal Appendix"	
I went after I ate	5;3;2;2;2,2	mə ʒɯ ʒu kɔ nɛnɑ̃ 		mə ʒɯ ʒu kɔ nɛnɑ̃ 	1p-sg eat-pst1 something then go-pst?	Verify tense on "go"	
I slept, then Ariane went.	5;3;32;2,2,3;2,1	mə zi kɔ arian nɛnɑ̃		mə zi kɔ arian nɛnɑ̃	1p-sg sleep-pst1 then Ariane go-pst?		
I went at the same time that Ariane ate.	3;5,32;2,3;2;1,1,2;2,21	mə nɛnɑ̃ ŋgalaŋ zə arian gə nʒɯ ʒu lɔ		mə nɛnɑ̃ ŋgalaŋ zə arian gə nʒɯ ʒu lɔ	I went then that Ariane ? eat something ?		
I saw the dog	5;3;2	mə jən mʙɯ		mə jən mʙɯ	1p-sg see-pst1 dog		
I gave the woman a dog.	5;3;2;2,3	mə fɔ mʙɯ mɛnzwi	5;3;2;2,3	mə fɔ mʙɯ mɛnzwi	1p-sg-nom give dog woman		
I did not see the mango.		mə kəʔ jən mɔŋgolo	3;5;3;21,2,1	mə kəʔ jən mɔŋgolo	1p-sg-nom neg. see mango		
Did I see the cat?		mə jən busi gi	5;3;2,3;3	mə jən busi gi	1p-sg-nom see-pst1 cat question		
The woman sells bananas	3,5;23;2,1	mɛnzwi swɛn kolo		mɛnzwi swɛn kolo	woman sell-pst1 banana		
Ariane left immediately after I slept.	5;3;3;2;1,1,2;1	mə jɔɣ nzi ndʒɯ arian nɛn  		mə jɔk nzi ndʒɯ arian nɛn  	1p-sg ? ? ? Ariane go-pst1	More info in annabelew_temporal.pdf	
Ariane went, then I slept.	3,3,5;2;32;3;3	arian nɛn kɔ mə nzi 		arian nɛn kɔ mə nzi 	Ariane go-pst1 then 1p-sg-nom ?		
I was sleeping (recently).	5;2;3;3	mə fɔ gə nzi		mə fɔ gə nzi	1p-sg ? ? sleep-prog		
I was sleeping (not recently)	3;5;3;3	mə nɔʔ gə nzi		mə nɔʔ gə nzi	1p-sg ? ? sleep-pst2		
Ariane went while I was sleeping (recently)	3,3,5;3,32;2,3;2;2;2;3;3;3	arian nɛnɑ̃ ŋgalaŋ zə mə fɔ gə nzi lɔ		arian nɛnɑ̃ ŋgalaŋ zə mə fɔ gə nzi lɔ	Ariane go-pst1 time that 1p-sg ? ? sleep-pst1 ?		
While I was sleeping (recently), Ariane went.	3,5;3;3;3;5;5;5;2,2,3;2	ŋgalaŋ zə mə fɔ gə nzi lɔ arian nɛn		ŋgalaŋ zə mə fɔ gə nzi lɔ arian nɛn	time REL 1p-sg ? ? sleep-pst1 REL Ariane go-pst1		
You all always go to the market.	3;2;32;3,3	bi nɯm nɛn dɔnə		bi nɯm nɛn dɔnə	2p-pl habitual go market		
Did I see the mosquito?	;;L,L;H	mə jən ŋaʔŋaʔ gi	5;3;1,1;3	mə jən ŋaʔŋaʔ gi	I see mosquitoe question		
Did I see the mountain?	5;3;31,1;3	mə jən koŋga gi	;;HL,L;H	mə jən koŋga gi	I see mountain question		
Did I see the millipede?		mə jən mbaŋgalaʔ gi		mə jən mbaŋgalaʔ gi	1p-sg see millipede question		
Did I see the time?	5;3;1,3;1	mə jən ŋgalaŋ gi	;;L,HL;H	mə jən ŋgalaŋ gi	I saw time question		
Did I see the road?		mə jən mɑnzə gi		mə jən mɑnzə gi	1p-sg see ? question		
Did I see the dust?		mə jən mbabə gi		mə jən mbabə gi			
Did I see the fat?		mə jən nzilə gi		mə jən nzilə gi			
Did I see the ku’nga?	5;3;31,1;3	mə jən kuʔŋga gi	;;HL,L;H	mə jən kuʔŋga gi	I see ritualdance question		
Did I see the tree parasite?		mə jən kwiʃɯ gi		mə jən kwitʃɯ gi	I see tree-parasite question		
Did I see the mango?		mə jən mɑŋgolo gi					
child of child	5;5	mɛn mɛn	LHL;H;LHL	mɛn T mɛn	child of child	change T to %, or other operator	
tree of child	5;3	tʃɯ mɛn	LHH;H;LHL	tʃɯ T mɛn	tree of child		
Did I see the examination?		mə					
I ate something, then Ariane went.	5;3;2;2;1,1,2;2,21	mə ʒɯ ʒu kɔ arian nɛnɑ̃ 		mə ʒɯ ʒu kɔ arian nɛnɑ̃ 	1p-sg eat-pst1 something then Ariane go-pst?		
Ariane ate something while I was sleeping.	3,3,5;3;3;32;2,3;2;2;2;3;3;3	arian ʒɯ ʒu ɔ ŋgalaŋ zə mə fɔ gə nzi lɔ		arian ʒɯ ʒu ɔ ŋgalaŋ zə mə fɔ gə nzi lɔ	Ariane eat-pst1 something ? time that 1p-sg ? ? sleep-prog ?	Verify tenses on this sentence.	
While I was sleeping (recently), Ariane was eating something.	3,5;3;3;3;5;5;5;3,3,5;3;4	ŋgalaŋ zə mə fɔ gə nzi lɔ arian ʒɯ ʒu		ŋgalaŋ zə mə fɔ gə nzi lɔ arian ʒɯ ʒu	while that 1p-sg ? prog sleep-pst1 ? eat-pst1 something	More info in abelew_temporal.pdf	
I slept, then Ariane kicked the dog	5;3;3;2,2,3;3;1	mə zi kɔ arian ntɛn mʙɯ		mə zi kɔ arian ntɛn mʙɯ	1p-sg sleep-pst1 then Ariane kick-pst1 dog	More info in abelew_temporal.pdf	
I will be sleeping (tonight, near future)	3;3;5;5	mɔʔ ɣɯ gə nzi		mɔʔ ɣɯ gə nzi	? ? ? sleep-prog		
I will sleep (tonight, near future)	3;3;5	mɔʔ ɣɯ nzi		mɔʔ ɣɯ nzi	? ? ?		
I will sleep (far future)	3;5;5;5	mɔʔ zi gə nzi		mɔʔ zi gə nzi	? ? ? ?		
Ariane will go while I am sleeping (tonight)	3;3;5;3;2,2,3;21	mɔʔ ɣɯ mə zi arian nɛn		mɔʔ ɣɯ mə zi arian nɛn	? ? 1p-sg sleep Ariane go-fut1		
Ariane will go while I am sleeping (far future)	3;5;5;3;2,2,3;21	mɔʔ zi mə zi arian nɛn		mɔʔ zi mə zi arian nɛn	? ? 1p-sg ? Ariane go		
Ariane will go because I am sleeping (near future)	3;3;5;5;2,2,3;21	mɔʔ ɣɯ gə nzi arian nɛn		mɔʔ ɣɯ gə nzi arian nɛn	? ? prog ? Ariane go		
Ariane went after dinner.	35,35,5;23;32;2,2,3;2,1	ʧaŋmvɯnʒɯ mi kɔ arian nɛnɑ̃		ʧaŋmvɯnʒɯ mi kɔ arian nɛnɑ̃	evening-meal finish then Ariane go	I think /mi/ is something like "finish" or "conclude"	
Ariane went before dinner.	3,3,5;2;32;23,23,3;3	arian nɛn kɔ ʧamvɯnʒɯ mbɯ		arian nɛn kɔ ʧaŋmvɯnʒɯ mbɯ	Ariane go-pst1 dinner ?		
Ariane went during dinner.	3,3,5;3,21;2,3;23,23,3	arian nɛnɑ̃ ŋgalaŋ ʧamvɯnʒɯ		arian nɛnɑ̃ ŋgalaŋ ʧaŋmvɯnʒɯ	Ariane ? while dinner		
Ariane went between lunch and dinner	3,3,5;3,21;2,3;34,3,3;2;23,23,3	arian nɛnɑ̃ nət̪ɛt̪ ʧaŋmʙɔkʧɯ bu ʧaŋmvɯnʒɯ		arian nɛnɑ̃ nətɛt ʧaŋmʙɔkʧɯ bu ʧaŋmvɯnʒɯ	Ariane go-pst1 between lunch and dinner		
Ariane cooked while I slept (recently).	3,3,5;3;2;2,3;2;2;2;3;3;3	arian na ʧaŋ ŋgalaŋ zə mə fɔ gə nzi lɔ		arian na ʧaŋ ŋgalaŋ zə mə fɔ gə nzi lɔ	Ariane ? ? while that 1p-sg ? ? ? ?		
I give the banana to him.	5;3;1,1;3	mə fɔ kəlo i		mə fɔ kolo i	1p-sg ? banana ?		
He breaks the window	3;5;3 1	a bɯʔ tonda		a bɯʔ tonda	3prs-sg-nom break window		
He / She broke the glass window	5;3;3 1	a ti tonda		a ti tonda	3prs-sg-nom breaks(glass) window	This is used only to refer to the breaking of glass objects	
He makes me break the window	5;3;3;3 1;-1 -1	a hʉ mə buʔ tonda			3prs-pres-sg-nom causative me-acc break window	'hʉ' is definetly a causative, but may be a stand alone verb.  Should elicit this	
What destroyed the village?	53;5;1;3-1;1,-3	a kɯ za sa lɔʔɔ		a kɯ zə a sa lɔʔ ɔ	3p-sg-nom what that 3p-sg-nom destroy-pst1 village wh-question-particle	To do: check tones	
The storm did. (lit. 'It is the storm.')	3;53;3,31	a bɔ fɯtmbaŋ		a bɔ fɯtmbaŋ	3p-sg-nom is storm	This sentence was elicited as the answer to the question "What destroyed the village?"	
Who found the plate?	53;5;3;51;3,-1	a wə za fɯn kaɔ		a wə zə a fɯn ka ɔ	3p-sg-nom who that 3p-sg-nom find-pst1 plate ?	I think the vowel in [wə] is a schwa, but it is already listed with a [ɯ].  	
The child made the spear break		mɛn ħɯ ko bɯʔ	5;1;13;3	mɛn ħɯ ko bɯʔ	child caus.. spear break	ħ could be prenasalized...	
	5;31;1;3;34	mə kwa də mbɯ mə sagə		mə kwa də mbɯ mə sagə	I think I am tall		
I eat the short fat bird	5;3;1;1;3	mə ʒɯ kam nguk saŋ		mə ʒɯ kam nguk saŋ	1p-sg-nom eat-pst1 short fat bird-sg-acc		
I kill the long snake.	5;3;1;3	mə zwi zɔ nju		mə zwi zɔ nju	1p-sg-nom kll-pst1 long snake-sg-acc		
I see the fat dog.	5;3;1;3	mə jɯn nguk mʙɯ		mə jɯn nguk mʙɯ	1p-sg-nom see-pst1 fat dog-sg-acc		
I eat the fat bird.	5;3;1;3	mə ʒɯ nguk saŋ		mə ʒɯ nguk saŋ	1p-sg-nom eat-pst1 fat bird-sg-acc		
I drink cold water.	5;3;1;3	mə nu ntsə fi		mə nu ntsə fi	1p-sg-nom drink-pst1 water-sg-acc cold		
Who saw the dog? 	53;5;3;51;3,-1	a wə za jɯn mʙɯɔ		a wə zə a jɯn mʙɯ ɔ	3p-sg-nom who that 3p-sg-nom see-pst1 dog wh-question-particle		
He asked me, 	5;3;3;1 -1;3;5.31;3	a bɛt ɔm ndʒɯ u jɯnɔ kɯ		a bɛtə ɔm ndʒɯ u jɯn ɔ kɯ	3p-sg-nom ask-pst1 1p-sg-dat ? 2p-sg-nom see-pst1 wh-question-particle what	[ndʒɯ] introduces direct speech complements. 	
What did you see?	3;53;5;1;3.1	a bɔ kɯ zu jɯnɔ		a bɔ kɯ zə u jɯn ɔ	3p-sg-nom is what that you see-pst1 wh-question-particle		
He wanted to know what you saw. 	5;13;-1;-1 1;-1;-3;-1;-3	a diag nə lɛn ʒu zu jɯn nɔ		a diag nə lɛn ʒu zə u jɯn nɔ	3p-sg-nom want-pst1 inf know thing that 2p-sg-nom see-pst1 ?	[nɔ]/[lɔ] appears at the end of relative clauses.  It is a different morpheme than the wh-question particle [ɔ].	
I saw a snake. 	5;3;1	mə jɯn nju		mə jɯn nju	1p-sg-nom see-pst1 snake		
WHAT did you see? 	5;1;31;1	kɯ zu jɯn di		kɯ zə u jɯn di	what that 2p-sg-nom see-pst1 ?	This is an echo question.  [di] is an echo-question particle.  	
He wanted to know who you saw. 	5;13;-1;-1 1;-1.-1 1;-1;1;-1	a diag nə lɛn mɛntʃɯn zu jɯn nɔ		a diag nə lɛn mɛntʃɯn zə u jɯn nɔ	3p-sg-nom want-pst1 inf know person that 2p-sg-nom see-pst1 ?		
It is hot	5 3 1	aʤʉma		aʤʉma	3prs-sg hot		
he dies	5 3	a kʰwʉ		a kʰwʉ	3prs-sg die		
It is him who broke the window	3;5,3;3,5;5,3;1;-1,-1	a bɔ ji bɛn bɯʔ tonda		a bɔ ji bɛn bɯʔ tonda	3prs-sg be acc-3prs-sg comp break window		
I give a rock to him	5;3;1;1,3	mə fo lɔn ji		mə fo lɔn ji	1prs-sg-nom give rock 3prs-sg		
	5;31;1;3;13	ʔa kwadə mbɯ mə sagə 		ʔa kwadə mbɯ mə sagə 	She thinks I am tall.		
She believes the dog is fat.	5;3;1;3;-1	a bam mbɯ mʙɯ voʔ 		a bam mbɯ mʙɯ voʔ 	She accepts that the dog is fat.		
She imagines the man of her dreams	5;35;311;21;-1-1	a nɛn kwadə manʤum ɲgjum i 		a nɛn kwadə manʤum ɲgjum i 	She is thinking of the man of her dreams		
Yesterday, I thought the dog was fat	35;3;5;3;311;-1;3;1;-1-1	ngɔk li mə fɔ nkwadə mbɯ mʙɯ fɔ voʔu 		ngɔk li mə fɔ nkwadə mbɯ mʙɯ fɔ voʔu 	Yesterday, I thought that the dog was fat.		
It's robbery!	5;5	a tʃo		a tʃo	3p-sg theft	An exclamation-- given contexts were when looking at one’s bank statement, or viewing an advertisement	
my brother		nʃu mɔ	3 545	nʃu mɔ	boy mother-1st-poss		
my sister		ngun tɔ	3 545	ngun tɔ	girl father-1st-poss		
I buy earrings for my wife		mə ʒun jalin zwijum	5 3 131 3-1		I buy earrings wife-1st-poss		
He is toothless./She is toothless.	5;52;3,2	a bo tʃuʔnzo		a bo tʃuʔnzo	3p-sg ? toothless	Sound file is “Yes, you can say ‘a bo tʃuʔnzo’”	
Don't cry.	5;5;3,5	ko nə kwaʔa		ko nə kwaʔa	? inf-marker cry	This is what one says to crying babies.	
		mə bu0829 tond					
I break the window with a rock		mə bʉ tondə bu lɔn	5 3 1,1 3,1 1	mə bʉ tondə bu lɔn	I-1sing break  window with rock		
He falls		atamsi	5,3,1	atamsi	3sing-He falls		
I give the rock to him		mə fɔ lɔn ji	5 3 1 3	mə fɔ lɔn ji	I-1sing give rock him		
It is I that gives the rock to him.		abɔ mə bɜm vɔ lɔn ji	3,5,3 13,31 3 1 3	abɔ mə bɜm vɔ lɔn ji	It is I-1sing that gives rock-indirectobj him-3singacc	Not sure what form of 'to give' vɔ is but it has to do with the abɔ/bɜm construction	
I love you		mə ko u	5 3 5	mə ko u	I-1sing love you		
It is fine		aBo	535	aBo	It is fine		
Ariane slept because I went.		arian zi numbɯ mə nɛnɑ̃ 		arian zi numbɯ mə nɛnɔ	Ariane sleep-pst1 ? 1p-sg go-pst1		
Ariane will leave while I am cooking (today).		arianəʔ ɑ ɣu nɛnɑ̃ ŋgalaŋ zə mə na ʧaʁnã		arian ɔ ɣu nɛnɔ ŋgalaŋ zə mə na ʧaʁn ɔ	Ariane ? ? go-fut1 while REL 1p-sg ? cook REL		
Ariane will leave while I am cooking (tomorrow, soon).		arian ɑ ʧaʁ nɛnɑ̃ ŋgalaŋ zə mə na ʧaʁnɐ̃		arian ɔ ʧaʁ nɛnɔ ŋgalaŋ zə mə na ʧaʁnɔ	Ariane ? cook go-fut2 while REL 1p-sg ? cook		
Ariane will leave while I am cooking (in the far future).		arian ɑ zi nɛnɑ̃ ŋgalaŋ zə mə na ʧaʁ nə̃		arian ɔ zi nɛnɔ ŋgalaŋ zə mə na ʧaʁ nɔ	Ariane ? future go-fut3 while REL 1p-sg ? cook ?		
I will cook (tomorrow)		mɔ tʃak ɯ na tʃaŋ		mɔ tʃak ɯ na tʃaŋ	? cook ? ? meal		
Ariane cooked for two days.		arian na ʧaŋ num liʔ bo		arian na ʧaŋ num liʔ bo	Ariane ? food ? day two		
Ariane cooked two days' worth of food.		arian na tʃaŋ zə liʔ bo		arian na tʃaŋ zə liʔ bo	Ariane ? food REL day two		
Ariane cooked for two days.		arian na ʧaŋ liʔ bo		arian na ʧaŋ liʔ bo	Ariane ? food day two		
Ariane cooked two days' worth of food.		arian na tʃaŋ liʔ bo		arian na tʃaŋ liʔ bo	Ariane ? food day two		
Ariane will cook for two days.		arian ɑ na tʃaŋ num liʔ bo		arian ɔ na tʃaŋ num liʔ bo	Ariane ? ? food ? day two		
Ariane will cook two days' worth of food.		arian ɑ na tʃaŋ zə liʔ bo		arian ɔ na tʃaŋ zə liʔ bo	Ariane ? ? food REL day two		
Ariane will cook in the daytime.		arian na tʃaŋ mʙɔkʧɯ		arian na tʃaŋ mʙɔkʧɯ	Ariane ? food daytime		
It is raining.		mbɑŋ nɛn du		mbɑŋ nɛn du	? prog ?	/mbaŋ/ is likely the same morpheme found in /fɯtmbaŋ/	
It is rotting.		a nɛn ʙi		a nɛn ʙi	3p-sg prog rot		
I did not see the mosquito.		mə kəʔ jən ŋaʔŋaʔ		mə kəʔ jən ŋaʔŋaʔ	1p-sg NEG see-pst1 mosquito		
I did not see the child's mosquito.		mə kəʔ jən ŋaʔŋaʔ mɛn		mə kəʔ jən ŋaʔŋaʔ mɛn	1p-sg NEG see-pst1 mosquito child		
I saw the mosquito.		mə jən ŋaʔŋaʔ		mə jən ŋaʔŋaʔ	1p-sg see-pst1 mosquito		
I saw the child's mosquito.		mə jən ŋaʔŋaʔ mɛn		mə jən ŋaʔŋaʔ mɛn	1p-sg see-pst1 mosquito child		
I saw the mosquito on the tree.		mə jən ŋaʔŋaʔ num tʃɯ		mə jən ŋaʔŋaʔ num tʃɯ	1p-sg see-pst1 mosquito ? tree		
I saw the chief of the mosquito.		mə jən mvən ŋaʔŋaʔ		mə jən mvən ŋaʔŋaʔ	1p-sg see-pst1 chief mosquito		
Mosquito of the child		ŋaʔŋaʔ mɛn		ŋaʔŋaʔ mɛn	mosquito child		
I did not see the examination.		mə kəʔ jən nkwaʔnkwaʔ		mə kəʔ jən nkwaʔnkwaʔ	1p-sg NEG see-pst1 examination		
I did not see the examination of the child		mə kəʔ jən nkwaʔnkwaʔ mɛn		mə kəʔ jən nkwaʔnkwaʔ mɛn	1p-sg NEG see-pst1 examination child		
I saw the examination.		mə jən nkwaʔnkwaʔ		mə jən nkwaʔnkwaʔ	1p-sg see-pst1 examination		
I saw the examination of the child.		mə jən ŋkwaʔŋkwaʔ mɛn		mə jən ŋkwaʔŋkwaʔ mɛn	1p-sg see-pst1 examination child		
I saw the examination on the tree.		mə jən ŋkwaʔŋkwaʔ num tʃɯ		mə jən ŋkwaʔŋkwaʔ num tʃɯ	1p-sg see-pst1 examination ? tree		
I saw the chief of the examination.		mə jən mvən ŋkwaʔŋkwaʔ		mə jən mvən ŋkwaʔŋkwaʔ	1p-sg see-pst1 chief examination	Speaker had trouble producing correct tones for this sentence-- see S000054a.wav for trial-and-error	
Examination of the child		ŋkwaʔŋkwaʔ mɛn		ŋkwaʔŋkwaʔ mɛn	examination child		
I did not see the mountain.		mə kəʔ jən koŋga		mə kəʔ jən koŋga	1p-sg NEG see-pst1 mountain		
I did not see the mountain of the child.		mə kəʔ jən koŋga mɛn		mə kəʔ jən koŋga mɛn	1p-sg NEG see-pst1 mountain child		
I saw the mountain.	5;3;2,1	mə jən koŋga		mə jən koŋga	1p-sg see-pst1 mountain		
I saw the mountain of the child.		mə jən koŋga mɛn		mə jən koŋga mɛn	1p-sg see-pst1 mountain child		
I saw the mountain on the tree.		mə jən koŋga num tʃɯ		mə jən koŋga num tʃɯ	1p-sg see-pst1 mountain ? tree		
I saw the chief of the mountain.		mə jən mvən koŋga		mə jən mvən koŋga	1p-sg see-pst1 chief mountain		
Mountain of the child		koŋga mɛn		koŋga mɛn	mountain child		
I did not see the millipede.		mə kəʔ jən mbaŋgalaʔ		mə kəʔ jən mbaŋgalaʔ	1p-sg NEG see-pst1 millipede		
I did not see the millipede of the child		mə kəʔ jən mbaŋgalaʔ mɛn		mə kəʔ jən mbaŋgalaʔ mɛn	1p-sg NEG see-pst1 millipede child		
I saw the millipede.		mə jən mbaŋgalaʔ		mə jən mbaŋgalaʔ	1p-sg see-pst1 millipede		
I saw the millipede of the child.		mə jən mbaŋgalaʔ mɛn		mə jən mbaŋgalaʔ mɛn	1p-sg see-pst1 millipede child		
I saw the millipede on the tree.		mə jən mbaŋgalaʔ num tʃɯ		mə jən mbaŋgalaʔ num tʃɯ	1p-sg see-pst1 millipede ? tree		
I am sorry	3,3;53;1	lakdə vɔ mə		lakdə vɔ mə	give-pst1 ? 1p-sg		
I thank you very much, Thank you	5;3;3,5;1,-1	mə lop tuu neʃu		mə lop tuu neʃu	1p-sg-nom thank-pst1 2p-sg very		
the bird that is short	5;3;53;3	saŋ za kam nɔ		saŋ za kam nɔ	bird that short ?		
cold water	3;5	ntsə fi		nstə fi	water cold		
long snake	3;5	zɔ nju		zɔ nju	long snake		
The snake is long.	5;1,3	nju sagə		nju sagə	snake ?		
fat bird	3;5	nguk saŋ		nguk saŋ	fat bird		
short bird	35;3,3	kam saŋə		kam saŋə	short bird		
short fat bird	3;3;5	kam nguk saŋ		kam nguk saŋ	short fat bird		
fat dog	3;5	nguk mʙɯ		nguk mʙɯ	fat dog		
This is a story about an ant	3;53;1;1,1	a bɔ tʃo nditndit		a bɔ tʃo nditndit	3p-sg-nom be-pst1 story ant		
An ant lived in a little house near a lake.	3;3.3;53;3;3;31;1,-1;13;1;-1	tɔɁ nditndit nɔ ngən twsə	 ntʃɯn mətuɁ bɔɁ mbaŋ ntsə		tɔɁ nditndit nɔ ngən twsə	 ntʃɯn mətuɁ bɔɁ mbaŋ ntsə	one ant ? ? ? in little house near water		
One day, while the ant was walking to town, he saw a little bird.	5;53;3;5,53;5;5;13;1,-1;3;1;3,1;3,3	a bɔ tɔɁ liɁnʒɯ a bɯ nɛnə tʃuso njɯn tɔɁ mətuɁ saŋə		a bɔ tɔɁ liɁnʒɯ a bɯ nɛnə tʃuso njɯn tɔɁ mətuɁ saŋə	3p-sg-nom be-(progressive) day 3p-sg-nom ? go-inf town see-inf one small bird		
That's a beautiful bird, he thought. He found that bird very beautiful	5;53;3;5;5;13;1,-1	a jɯn mbə saŋ no mʙo nəʃu		a jɯn mbə saŋ no mʙo nəʃu	3prs-sg-nom see-pst1 that bird that-det good very		
He said he would eat the bird if I killed it	5;3;1;3;5;3,3;2;-1;-1;1,-1;-1	a ʧup mbə aɁ fɛt saŋə mbə zə mə zwi lo		a ʧup mbə aɁ fɛt saŋə mbə zə mə zwi lo	3p-sg-nom say-pst1 that be-(future) eat bird that ? 1p-sg-nom kill-pst1 ?		
He says that he drinks water.	5;3;1;3;1;-1	a ʧup mbə a nu nʦə		a ʧup mbə a nu nʦə	3prs-sg-nom say-pst1 that 3prs-sg drink-pst1 water		
He says that he drank water.	5;3;1;1;31;1;-1	a ʧup mbə a nɔɁ nu nʦə		a ʧup mbə a nɔɁ nu nʦə	3prs-sg-nom say-pst1 that 3prs-sg do-pst1 drink-pst1 water		
He says that he will drink water (tomorrow).	5;31;1;1;3;3;1	a ʧup mbə aɁ ʧak nu nʦə		a ʧup mbə aɁ ʧak nu nʦə	3prs-sg-nom say-pst1 that will tomorrow drink water		
He said that he drank water.	3;5;3;1;1;3;1;-1	a nɔɁ ʧup mbə a nɔɁ nu nʦə		a nɔɁ ʧup mbə a nɔɁ nu nʦə	3prs-sg-nom do-pst1 say-pst1 that 3prs-sg-nom do-pst1 drink-pst1 water		
He said that he drinks water.	3;5;3;1;3;1;-1	a nɔɁ ʧup mbə a nu nʦə		a nɔɁ ʧup mbə a nu nʦə	3prs-sg-nom do-pst1 say-pst1 that 3prs-sg-nom drink-pst1 water		
He said that he will (distant future) drink water.	3;5;3;1;1;3;3;1	a nɔɁ ʧup mbə aɁ zi nu nʦə		a nɔɁ ʧup mbə aɁ zi nu nʦə	3prs-sg-nom aux-pst1 say-pst1 that aux-fut aux-fut drink-pst1 water		
He said that he had drunk water.	5;1;31;1;1;3;1;-1	a fɔn ʧup mbə a nɔɁ nu nʦə		a fɔn ʧup mbə a nɔɁ nu nʦə	3prs-sg-nom yesterday say-pst1 that 3prs-sg aux-pst drink-pst1 water		
He will say that he drank water.	3;5;5;3;5;1;3;1	aɁ ʧak nʧup mbə a fɔn nu ntsə		aɁ ʧak nʧup mbə a fɔn nu ntsə	will tomorrow say-inf that 3prs-sg yesterday drink-pst1 water		
He says, 	5;3;1-1;3;5;1;-1	a ʧup ndʒʉ mə nɔɁ nu ntsə		a ʧup ndʒʉ mə nɔɁ nu ntsə	3prs-sg-nom say-pst1 (direct speech comp) 1p-sg-nom aux-past drink-pst1 water		
He says, "I will drink water."	5;3;1-1;3;5;5;3	a tʃup mdʒʉ mɔɁ tʃak nu ntsə		a tʃup mdʒʉ mə aɁ tʃak nu ntsə	3prs-sg-nom say-pst1 (direct speech comp) 1p-sg-nom aux-fut tomorrow drink-pst1 water		
He asked me, "Did you eat the bird?"	5;3,3;3;1-1;5;3;1;1	a bɛtə ɔm ʒu Ɂu fɛt saŋ gi		a bɛtə ɔm ʒu Ɂu fɛt saŋ gi	3prs-sg-nom ask-pst1 1p-sg thing 2p-sg eat-pst1 bird ?		
He asked me if I ate the bird.	5;3,3;3;2;1;1;3-1;1;1	a bɛtə ɔm mbə zə mə fɛt saŋ no		a bɛtə ɔm mbə zə mə fɛt saŋ no	3prs-sg-nom ask-pst1 1p-sg that ? 1p-sg-nom eat-pst1 bird ?		
He asked me, "What did you see?"	5;3,3;3;1-1;3;5;31;3	a bɛtə ɔm ndʒu Ɂu jʉn nɔ ku		a bɛtə ɔm ndʒu Ɂu jʉn nɔ ku	3prs-sg-nom ask-pst1 1p-sg (direct speech comp) 2p-sg see-pst1 ? ?		
No, I don't see the dog, I see the CHIEF.		nga	mə	kɯʔ  jɯn mʙɯ mə jɯn ɒ       mvən	5	3	5	3	2	3	5	32	21		no    I      not     see   dog  I    see  FOC  chief	One way of utilizing contrastive focus in Medumba is to employ the particle 'ɒ' postverbally. 	
No, I don't see the dog, I see the CHIEF.	5;3;5;3;2;3;5;32;21	nga mə kəʔ jən mʙɯ mə  jə nɒ mvən		nga mə kəʔ jən mʙɯ mə  jən ɒ mvən	no 1-sg NEG see dog 1-sg see FOC chief		
No, the chief is not big; it is the DOG that is big.	5;3;3;3;2;32;3;32;2,2	nga mvən kəʔ vuʔ a bo mʙɯ bɛn vuʔu		nga mvən kəʔ vuʔ a bo mʙɯ bɛn vuʔu	no chief NEG big it is dog that big	clefted focus construction	
No, the chief is not big; it is the DOG that is big.	5;3;3;3;2;32;3;32;2,2	nga mvən kəʔ vuʔ a bɔ mʙɯ bɛn vuʔu		nga mvən kəʔ vuʔ a bɔ mʙɯ bɛn vuʔu	no chief NEG big 3-sg is dog who big	clefted focus construction	
